company,index,ir_url,latest_report_date,latest_report_url,prior_report_date,prior_report_url,revenue_yoy_pct,eps_yoy_pct,op_margin_latest_pct,op_margin_prior_pct,guidance_change,fcf_yoy_pct,net_debt_to_ebitda,data_completeness_pct,score_growth_revenue,score_growth_eps,score_profit_margin_level,score_profit_margin_yoy,score_guidance,score_capital_fcf,score_capital_leverage,score_total,grade,ticker,sector,industry,valuation_style,valuation_model,current_price,actual_multiple,fair_multiple,multiple_ratio,fair_price,valuation_gap_pct,price_assessment
Nvidia,S&P 500,https://investor.nvidia.com/,2025-10-31,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Third-Quarter-Fiscal-2026/default.aspx,2024-10-31,,62.5,66.7,63.2,62.3,unchanged,31.5,0.07,88.9,15.0,15.0,12.0,8.1,12.0,9.2,8.8,80.1,B-,NVDA,Technology,Semiconductors,tech_hypergrowth,PE,182.81,45.24,47.64,0.95,192.51,5.3,Fair
Apple,S&P 500,https://investor.apple.com/,2025-12-31,https://www.apple.com/newsroom/2026/01/apple-reports-first-quarter-results/,2024-12-31,,15.7,18.3,35.4,34.5,unchanged,91.0,0.21,88.9,13.8,10.8,12.0,8.1,12.0,10.0,8.8,75.5,C,AAPL,Technology,Consumer Electronics,tech_quality,PE,255.78,32.38,36.67,0.88,289.69,13.3,Fair
Microsoft,S&P 500,https://www.microsoft.com/en-us/Investor/,2025-12-31,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,2024-12-31,,16.7,59.8,47.1,45.5,unchanged,-9.3,0.07,88.9,13.8,15.0,12.0,9.9,12.0,5.0,8.8,76.5,C,MSFT,Technology,Software - Infrastructure,tech_hypergrowth,PE,401.32,25.13,46.13,0.54,736.70,83.6,Undervalued
Amazon,S&P 500,https://ir.aboutamazon.com/,2025-12-31,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx,2024-12-31,,13.6,4.8,11.7,11.3,unchanged,-16.1,0.82,88.9,12.3,8.2,6.0,8.1,12.0,3.2,8.8,58.6,F,AMZN,Consumer Cyclical,Internet Retail,tech_hypergrowth,PE,198.79,27.69,38.61,0.72,277.23,39.5,Undervalued
Alphabet,S&P 500,https://abc.xyz/investor/,2025-12-31,https://abc.xyz/investor/news/news-details/2026/Alphabet-Announces-Fourth-Quarter-2025-and-Fiscal-Year-Results-2026-KEvZIMKBLS/default.aspx,2024-12-31,,18.0,31.2,31.6,32.1,unchanged,-1.2,0.09,88.9,13.8,12.8,12.0,5.9,12.0,5.0,8.8,70.2,C-,GOOGL,Communication Services,Internet Content & Information,tech_hypergrowth,PE,305.72,28.26,43.48,0.65,470.50,53.9,Undervalued
Meta,S&P 500,https://investor.atmeta.com/,2025-12-31,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/,2024-12-31,,23.8,10.7,41.3,48.3,unchanged,9.3,0.18,88.9,13.8,10.8,12.0,1.6,12.0,6.6,8.8,65.6,D,META,Communication Services,Internet Content & Information,tech_hypergrowth,PE,639.77,27.25,41.55,0.66,975.64,52.5,Undervalued
Broadcom,S&P 500,https://investors.broadcom.com/,2025-10-31,https://www.prnewswire.com/news-releases/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025-financial-results-and-quarterly-dividend-302639606.html,2024-10-31,,28.2,93.3,41.7,32.9,unchanged,36.2,1.24,88.9,15.0,15.0,12.0,13.0,12.0,10.0,7.2,84.2,B,AVGO,Technology,Semiconductors,tech_hypergrowth,PE,325.17,68.03,49.36,1.38,235.96,-27.4,Overvalued
Tesla,S&P 500,https://ir.tesla.com/,2025-12-31,https://ir.tesla.com/press-release/tesla-releases-fourth-quarter-and-full-year-2025-financial-results,2024-12-31,,-3.1,-63.6,5.7,6.2,unchanged,-30.2,1.26,88.9,4.5,0.0,3.6,5.9,12.0,1.5,7.2,34.6,F,TSLA,Consumer Cyclical,Auto Manufacturers,broad_market,PE,417.44,382.97,16.00,23.94,17.44,-95.8,Overvalued
Berkshire Hathaway,S&P 500,https://www.berkshirehathaway.com/,2025-09-30,https://www.sec.gov/Archives/edgar/data/0001067983/000119312525261548/brka-20250930.htm,2024-09-30,,,17.2,,,unchanged,-42.4,,44.4,,10.8,,,12.0,1.5,,48.6,F,BRK-B,Financial Services,Insurance - Diversified,financials,PE,497.55,15.90,19.64,0.81,614.61,23.5,Undervalued
Walmart,S&P 500,https://stock.walmart.com/,2025-10-31,https://corporate.walmart.com/news/2025/11/20/walmart-releases-q3-fy26-earnings,2024-10-31,,5.8,35.1,3.7,4.0,unchanged,405.9,0.72,88.9,10.5,14.1,1.8,5.9,12.0,10.0,8.8,63.0,D,WMT,Consumer Defensive,Discount Stores,broad_market,PE,133.89,46.65,23.38,2.00,67.10,-49.9,Overvalued
Eli Lilly,S&P 500,https://investor.lilly.com/,2025-12-31,https://www.prnewswire.com/news-releases/lilly-reports-fourth-quarter-2025-financial-results-and-provides-2026-guidance-302678376.html,2024-12-31,,42.6,51.4,46.6,42.0,unchanged,-65.0,0.73,88.9,15.0,15.0,12.0,13.0,12.0,0.0,8.8,75.8,C,LLY,Healthcare,Drug Manufacturers - General,healthcare,PE,1040.00,45.26,31.74,1.43,729.39,-29.9,Overvalued
JPMorgan Chase,S&P 500,https://www.jpmorganchase.com/ir,2025-12-31,https://www.jpmorganchase.com/ir/quarterly-earnings,2024-12-31,,,-3.7,,,unchanged,39.0,,44.4,,4.5,,,12.0,10.0,,53.0,F,JPM,Financial Services,Banks - Diversified,financials,PB,302.55,2.38,1.55,1.53,197.34,-34.8,Overvalued
Visa,S&P 500,https://investor.visa.com/,2025-12-31,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22086.html,2024-12-31,,14.6,17.4,61.8,65.6,unchanged,26.7,0.22,88.9,12.3,10.8,12.0,3.6,12.0,9.2,8.8,68.7,D+,V,Financial Services,Credit Services,financials,PE,314.08,29.49,24.86,1.19,264.78,-15.7,Overvalued
ExxonMobil,S&P 500,https://investor.exxonmobil.com/,2025-12-31,https://corporate.exxonmobil.com/news/news-releases/2026/0130-exxonmobil-announces-2025-results,2024-12-31,,,-11.0,,9.6,unchanged,-46.9,,55.6,,4.5,,,12.0,1.5,,36.0,F,XOM,Energy,Oil & Gas Integrated,energy,EV/EBITDA,148.45,11.21,6.96,1.61,92.13,-37.9,Overvalued
Johnson & Johnson,S&P 500,https://investor.jnj.com/,2025-12-31,https://investor.jnj.com/investor-news/news-details/2026/Johnson--Johnson-reports-Q4-and-Full-Year-2025-results/default.aspx,2024-12-31,,9.1,48.9,22.8,16.2,unchanged,13.1,0.98,88.9,10.5,14.1,10.0,13.0,12.0,8.0,8.8,76.4,C,JNJ,Healthcare,Drug Manufacturers - General,healthcare,PE,243.45,22.07,31.92,0.69,352.08,44.6,Undervalued
Novo Nordisk,OMXC25,https://www.novonordisk.com/investors.html,2025-12-31,https://www.novonordisk.com/content/nncorp/global/en/investors/company-announcement.html,2024-12-31,,-7.6,-4.7,40.1,42.9,unchanged,-750.8,0.64,88.9,4.5,4.5,12.0,3.6,12.0,0.0,8.8,45.4,F,NVO,Healthcare,Drug Manufacturers - General,healthcare,PE,49.57,13.54,22.62,0.60,82.79,67.0,Undervalued
Nordea,OMXC25,https://www.nordea.com/en/investors,2025-12-31,https://www.nordea.com/en/press/2026-01-29/fourth-quarter-and-full-year-results-2025,2024-09-30,,-2.3,-5.6,,,unchanged,-92.6,,55.6,4.5,4.5,,,12.0,0.0,,32.3,F,NDA-FI.HE,Financial Services,Banks - Regional,financials,PB,16.55,1.75,1.18,1.48,11.20,-32.3,Overvalued
DSV,OMXC25,https://investor.dsv.com/,2025-12-31,https://investor.dsv.com/reports-presentations,2024-09-30,,62.6,,7.8,10.0,unchanged,33.8,2.67,77.8,15.0,,3.6,3.6,12.0,9.2,5.2,57.2,F,DSV.CO,Industrials,Integrated Freight & Logistics,industrials,EV/EBITDA,1680.50,22.55,9.29,2.43,692.38,-58.8,Overvalued
Danske Bank,OMXC25,https://danskebank.com/investor-relations,2025-12-31,https://danskebank.com/news-and-insights/news-archive/press-releases/2026/pr05022026,2024-12-31,,4.6,,,,unchanged,177.0,,44.4,8.2,,,,12.0,10.0,,60.5,D-,DANSKE.CO,Financial Services,Banks - Regional,financials,PB,333.60,1.50,1.69,0.89,375.44,12.5,Fair
A.P. Moller - Maersk,OMXC25,https://investor.maersk.com/,2025-12-31,https://www.maersk.com/news/articles/2026/02/05/maersk-strong-performance-2025-business-progress,2024-12-31,,-8.7,,,,unchanged,-42.2,,44.4,4.5,,,,12.0,1.5,,36.0,F,MAERSK-B.CO,Industrials,Marine Shipping,industrials,EV/EBITDA,15025.00,36.25,6.96,5.21,2884.96,-80.8,Overvalued
MSCI World ACWI (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,ACWI,Broad Market Index,Diversified,broad_market,PE,145.94,23.58,20.00,1.18,123.76,-15.2,Overvalued
S&P 500 (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,^GSPC,Broad Market Index,Diversified,broad_market,PE,6836.17,27.45,21.00,1.31,5229.59,-23.5,Overvalued
OMXC25 (benchmark),Benchmark,,,,,,,,,,,,,,,,,,,,,,N/A,^OMXC25,Broad Market Index,Diversified,broad_market,PE,1808.53,15.73,17.50,0.90,2011.54,11.2,Fair
